,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
2875,2726197_0039,05:15:19,05:15:19,26,1 Tech Ridge Park & Ride NB,1,1,1,1,30.27042,-97.74444,Austin History Center Station (NB),False
135671,2729133_3220,05:15:21,05:15:21,17,3 Arboretum NB,1,3,1,1,30.206901,-97.805837,6601 Menchaca/Miles,False
232358,2730992_5041,05:15:21,05:15:21,17,322 Hancock Center NB,1,322,1,1,30.27565,-97.720224,Chicon/14th,False
271611,2732160_6291,05:15:22,05:15:22,11,335 Exposition WB,0,335,1,1,30.298718,-97.729583,413 38th/Duval,False
87462,2727408_1461,05:15:26,05:15:26,6,2 Springdale NB,1,2,1,1,30.255752,-97.720588,2111 Cesar Chavez/Robert Martinez,False
252592,2731619_5779,05:15:26,05:15:26,10,325 Norwood Transit Center SB,0,325,1,1,30.403297,-97.700246,12026 Metric/Bittern,False
220349,2730655_4671,05:15:29,05:15:29,4,315 S. Congress Transit Center EB,0,315,1,1,30.236059,-97.838517,5411 290 Hwy/Monterey Oaks,False
259070,2731955_5949,05:15:31,05:15:31,16,333 Thaxton EB,1,333,1,1,30.203863,-97.838309,3508 Eskew/Leafield,False
81388,2727141_1284,05:15:33,05:15:33,22,18 Exposition WB,1,18,1,1,30.280545,-97.737318,112 Martin Luther King Jr/Congress,False
16413,2726395_0218,05:15:36,05:15:36,31,10 Norwood Transit Center NB,1,10,1,1,30.247241,-97.755836,1801 S 1st/Annie,False
145840,2729077_3326,05:15:37,05:15:37,10,3 Southpark Meadows SB,0,3,1,1,30.375734,-97.725963,Burnet/Waterford Center,False
204845,2730166_4243,05:15:37,05:15:37,8,311 ACC RIVERSIDE EB,1,311,1,1,30.225819,-97.803849,5012 West Gate/Jones,False
109557,2727659_1966,05:15:38,05:15:38,29,20 ABIA Airport SB,1,20,1,1,30.271503,-97.745478,812 Guadalupe/8th,False
240391,2731360_5444,05:15:38,05:15:38,15,324 Highland EB,0,324,1,1,30.375848,-97.705196,10014 Mountain Quail/Mearns Meadow,False
247153,2731685_5643,05:15:40,05:15:40,11,325 Tech Ridge Park & Ride NB,1,325,1,1,30.359516,-97.690554,408 Rundberg/North Creek,False
291518,2732990_6956,05:15:40,05:15:40,20,350 North Lamar Transit Center NB,0,350,1,1,30.28546,-97.705723,2201 Airport/Manor,False
8181,2726088_0110,05:15:42,05:15:42,7,1 William Cannon SB,0,1,1,1,30.393252,-97.681428,12100 Lamar/Oakbrook,False
202587,2729933_4140,05:15:44,05:15:44,16,310 S. Congress Transit Center WB,1,310,1,1,30.227504,-97.740505,2718 Parker/Royal Hill,False
410131,2736572_13819,05:15:46,05:15:46,49,7 William Cannon SB,0,7,1,1,30.211274,-97.748981,4216 Freidrich/St Elmo,False
173313,2729529_3666,05:15:49,05:15:49,8,300 Crestview Station NB,1,300,1,1,30.246752,-97.777395,2401 Lamar/Bluebonnet,False
443567,2737198_14457,05:15:50,05:15:50,13,801 Southpark Meadows SB,1,801,1,1,30.298026,-97.741267,31st Street Station (SB),False
135672,2729133_3220,05:15:52,05:15:52,18,3 Arboretum NB,1,3,1,1,30.209018,-97.804497,6305 Menchaca/Berkeley,False
212499,2730100_4439,05:15:52,05:15:52,18,311 Westgate Transit Center WB,0,311,1,1,30.20039,-97.766394,812 Stassney/IH 35,False
316044,2733706_7667,05:15:55,05:15:55,16,4 Shady EB,1,4,1,1,30.261532,-97.718195,7th/Robert T Martinez Jr,False
382948,2736643_13379,05:15:55,05:15:55,8,7 Crestview Station NB,1,7,1,1,30.185198,-97.745196,6107 Pleasant Valley/Turnstone,False
239059,2731157_5342,05:15:56,05:15:56,9,323 Northcross WB,0,323,1,1,30.35401,-97.72622,Anderson/Mullen,False
264879,2731891_6085,05:15:58,05:15:58,15,333 Oak Hill WB,0,333,1,1,30.191773,-97.774139,412 William Cannon/North Bluff,False
232359,2730992_5041,05:15:59,05:15:59,18,322 Hancock Center NB,1,322,1,1,30.2777,-97.72068,Chicon/17th,False
155808,2729284_3431,05:16:00,05:16:00,3,30 NORTHCROSS NB,0,30,1,1,30.256415,-97.80931,Barton Creek Mall (Sears),False
162780,2729316_3519,05:16:00,05:16:00,23,30 Westgate Transit Center SB,1,30,1,1,30.33696,-97.75756,Balcones/Northland,False
295285,2733026_7058,05:16:00,05:16:00,13,350 ACC Riverside SB,1,350,1,1,30.299909,-97.712142,4328 Airport/Crestwood,False
223485,2730753_4837,05:16:02,05:16:02,18,318 Thaxton EB,0,318,1,1,30.199404,-97.822116,7700 West Gate/Goldbridge,False
335215,2734662_8547,05:16:06,05:16:06,19,5 Tannehill EB,0,5,1,1,30.318547,-97.736463,1143 49th/Grover,False
96373,2727588_1735,05:16:08,05:16:08,12,20 Springdale NB,0,20,1,1,30.231928,-97.717861,4823 Riverside/Crossing Place,False
288853,2732822_6752,05:16:14,05:16:14,7,345 Hancock Center EB,1,345,1,1,30.310607,-97.732618,507 45th/Guadalupe,False
221470,2730609_4737,05:16:15,05:16:15,3,315 Oak Hill WB,1,315,1,1,30.228181,-97.778886,1228 Ben White/Banister,False
228166,2730789_4939,05:16:15,05:16:15,7,318 Westgate Transit Center WB,1,318,1,1,30.167294,-97.789084,132 Slaughter/Congress,False
341509,2734699_8650,05:16:17,05:16:17,30,5 Northcross WB,1,5,1,1,30.27219,-97.753539,601 Lamar/6th,False
220350,2730655_4671,05:16:21,05:16:21,5,315 S. Congress Transit Center EB,0,315,1,1,30.236071,-97.835177,5328 290 Hwy/290,False
252593,2731619_5779,05:16:21,05:16:21,11,325 Norwood Transit Center SB,0,325,1,1,30.400818,-97.703014,ACC Northridge,False
173314,2729529_3666,05:16:28,05:16:28,9,300 Crestview Station NB,1,300,1,1,30.247279,-97.774278,2201 Lamar/Kinney,False
76683,2726824_1067,05:16:32,05:16:32,3,135 Tech Ridge Park & Ride NB,0,135,1,1,30.27335,-97.69773,1149 Airport/Oak Springs,False
239060,2731157_5342,05:16:32,05:16:32,10,323 Northcross WB,0,323,1,1,30.354997,-97.728269,2114 Anderson/Hardy,False
204846,2730166_4243,05:16:34,05:16:34,9,311 ACC RIVERSIDE EB,1,311,1,1,30.223145,-97.805582,5306 West Gate/Indio,False
46805,2726327_0637,05:16:35,05:16:35,46,10 Southpark Meadows SB,0,10,1,1,30.236209,-97.763482,2904 S 1st/Sacramento,False
91858,2727334_1598,05:16:35,05:16:35,18,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.271094,-97.734976,608 11th/Red River,False
232360,2730992_5041,05:16:35,05:16:35,19,322 Hancock Center NB,1,322,1,1,30.279657,-97.721116,1817 Chicon/Martin Luther King,False
394580,2736641_13566,05:16:35,05:16:35,46,7 Airport/Highland NB,1,7,1,1,30.292127,-97.733917,Duval/Bellevue,False
202588,2729933_4140,05:16:36,05:16:36,17,310 S. Congress Transit Center WB,1,310,1,1,30.224895,-97.742138,3004 Parker/Timber Ridge,False
240392,2731360_5444,05:16:40,05:16:40,16,324 Highland EB,0,324,1,1,30.372298,-97.703382,1225 Mearns Meadow/Parkfield,False
8182,2726088_0110,05:16:42,05:16:42,8,1 William Cannon SB,0,1,1,1,30.38857,-97.68337,Lamar/Little Oak,False
291519,2732990_6956,05:16:43,05:16:43,21,350 North Lamar Transit Center NB,0,350,1,1,30.289097,-97.707009,Airport/38th,False
16414,2726395_0218,05:16:46,05:16:46,32,10 Norwood Transit Center NB,1,10,1,1,30.250973,-97.754463,1311 S 1st/Elizabeth,False
135673,2729133_3220,05:16:46,05:16:46,19,3 Arboretum NB,1,3,1,1,30.21281,-97.801883,6001 Menchaca/Independence,False
295286,2733026_7058,05:16:49,05:16:49,14,350 ACC Riverside SB,1,350,1,1,30.297973,-97.709321,4300 Airport/Wilshire,False
